Name: Samuel Steinberg,,,,
CS420 Project 4: Genetic Algorithms,,,,
Experiments are conducted with the parameters listed above the runs,,,,
,,,,
Number of Genes:,,20,,
Population Size:,,30,,
Number of Generations:,,10,,
Mutation Probability:,,0.06,,
Crossover Probability:,,0.6,,
Number of Runs:,,5,,
,,,,
Run 1,,,,
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0884131,0.850871,11,'11010000100011111110
1,0.395144,0.939198,12,'11111100010101110100
2,0.452122,0.959244,10,'11100011111010000010
3,0.594269,0.958124,11,'11111100010100110010
4,0.716297,0.958124,12,'11111100111010001100
5,0.613889,0.939568,13,'11111101010101100101
6,0.630705,0.936057,13,'11110100111011101100
7,0.675713,0.974407,10,'11111000010101110000
8,0.712127,0.995593,12,'11111110010100100110
9,0.663928,0.992757,11,'11111001100101110000
Run 2,,,,
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0869935,0.84697,10,'10111011110010001000
1,0.418896,0.938045,7,'01100010010000011100
2,0.551146,0.938054,8,'11110011000010010000
3,0.488624,0.942647,9,'10100011110011100000
4,0.506309,0.936866,12,'11111011110010001010
5,0.702114,0.851778,11,'11111011000011100001
6,0.783051,0.996667,14,'11101011111111001010
7,0.596243,0.996648,10,'11111000100111000100
8,0.584828,0.99979,11,'11011011100110100100
9,0.677355,0.999628,10,'01110101100111000100
Run 3,,,,
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0883339,0.885772,12,'11111100111010010010
1,0.428864,0.940596,13,'11111010011011111000
2,0.647405,0.958253,15,'11111100111011101101
3,0.567012,0.958253,12,'11111010011010111000
4,0.652946,0.958253,12,'11011110111010010010
5,0.664081,0.955906,14,'11011110010111011110
6,0.698315,0.99738,12,'11110000111000011111
7,0.693572,0.99738,15,'11111110001111101101
8,0.630045,0.995774,14,'11111110111000110011
9,0.581143,0.999743,18,'11111111111111101101
Run 4,,,,
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.152219,0.988407,11,'11111000110101101000
1,0.551493,0.988407,13,'11110111011101100010
2,0.646432,0.988766,12,'11111110000010011110
3,0.60832,0.988416,10,'11111001100100000110
4,0.742973,0.988785,14,'11111111101101100010
5,0.671893,0.988879,12,'01111111001101010010
6,0.638833,0.988785,15,'11111101011100111011
7,0.648977,0.988898,15,'11111111111001100011
8,0.796085,0.996068,14,'11111101011101011010
9,0.736398,0.996059,14,'11111101011001101110
Run 5,,,,
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.111649,0.947969,12,'11111110101000101100
1,0.551331,0.957317,10,'11101110011010000100
2,0.606231,0.957326,11,'11011110111000001100
3,0.67799,0.986013,12,'11111100110011100100
4,0.748616,0.985881,12,'11111110010000101110
5,0.643075,0.957033,10,'11111100110001000100
6,0.609859,0.978767,13,'11111010001111100101
7,0.710828,0.978804,12,'11111101101101010000
8,0.625476,0.966508,10,'11111010100001100100
9,0.710765,0.966517,13,'11111101101011100100
